Name,Age,Height,Sport,Book,Movie,Music,Food,Country
Person_149,22,172,Tennis,Mystery,Thriller,Classical,Curry,Japan
Person_150,33,153,Running,Fantasy,None,Classical,Ramen,South Korea
Person_151,26,164,Tennis,Poetry,Horror,Folk,Curry,Japan
Person_152,20,180,Running,Thriller,Drama,Rock,Pizza,England
Person_153,32,180,Soccer,Self-help,Romance,Blues,Sushi,China
Person_154,20,158,Volleyball,Science Fiction,Action,Country,Falafel,South Korea
Person_155,33,150,Golf,Romance,None,Folk,Curry,Italy
Person_156,31,175,Soccer,Science Fiction,None,Jazz,Pizza,France
Person_157,33,167,Cycling,Thriller,Documentary,Rock,Lasagna,Italy
Person_158,25,154,Hiking,Historical Fiction,Romance,Electronic,Falafel,USA
Person_159,23,161,Basketball,Science Fiction,Fantasy,Pop,Pizza,Australia
Person_160,20,151,Yoga,Thriller,Romance,Pop,Curry,South Korea
Person_161,29,159,Hiking,Mystery,Fantasy,Country,Pad Thai,India
Person_162,27,169,Yoga,Science Fiction,Science Fiction,Jazz,Pizza,England
Person_163,24,168,Yoga,Self-help,Drama,Blues,Curry,France
Person_164,33,172,Tennis,None,Mystery,Blues,Pizza,South Korea
Person_165,19,174,Cycling,Horror,Comedy,Electronic,Falafel,England
Person_166,21,168,Volleyball,Romance,Mystery,Country,Falafel,Japan
Person_167,26,158,None,Fantasy,Romance,Hip Hop,Jollof Rice,Italy
Person_168,32,170,Volleyball,Horror,Science Fiction,Jazz,Ramen,France
Person_169,32,157,Swimming,Historical Fiction,Romance,Country,Falafel,England
Person_170,23,165,Golf,Historical Fiction,Science Fiction,Rock,Beef Noodle,France
Person_171,23,150,Cycling,Thriller,Comedy,Country,Sushi,South Korea
Person_172,23,151,Basketball,Fantasy,Romance,Country,Lasagna,Australia
Person_173,20,151,None,None,Fantasy,Reggae,Lasagna,India
Person_174,31,164,Yoga,Thriller,Documentary,Reggae,Beef Noodle,Canada
Person_175,34,179,Tennis,Mystery,Mystery,Rock,Ramen,Japan
Person_176,32,164,Cycling,Romance,Mystery,Blues,Jollof Rice,Canada
Person_177,22,156,Hiking,None,Science Fiction,Country,Curry,Australia
Person_178,25,158,Volleyball,Thriller,Drama,Hip Hop,Tacos,India
Person_179,34,152,Soccer,Science Fiction,Horror,Blues,Sushi,USA
Person_180,32,160,Tennis,Biography,Horror,Blues,Beef Noodle,China
Person_181,28,172,Volleyball,Poetry,Mystery,Folk,Beef Noodle,Canada
Person_182,20,175,None,Science Fiction,Science Fiction,Jazz,Pizza,France
Person_183,35,165,Swimming,Mystery,Thriller,Hip Hop,Tacos,England
Person_184,22,159,Running,None,None,None,Falafel,France
Person_185,34,170,Hiking,Romance,Fantasy,Rock,Tacos,Canada
Person_186,34,161,Volleyball,Self-help,Mystery,Classical,Curry,USA
Person_187,28,162,Basketball,Horror,Fantasy,Classical,Tacos,USA
Person_188,18,176,Yoga,Biography,Comedy,Blues,Lasagna,England
Person_189,26,176,Yoga,Self-help,None,Blues,Jollof Rice,South Korea
Person_190,24,157,Volleyball,Thriller,Comedy,Jazz,Ramen,China
Person_191,21,158,Swimming,Mystery,Science Fiction,Classical,Sushi,Australia
Person_192,23,159,Tennis,Fantasy,Mystery,Jazz,Lasagna,Australia
Person_193,23,170,Tennis,Horror,Documentary,Hip Hop,Lasagna,China
Person_194,25,173,Volleyball,Fantasy,Mystery,Folk,Ramen,England
Person_195,31,166,Cycling,Science Fiction,Drama,Country,Pad Thai,Australia
Person_196,19,150,Hiking,Romance,Thriller,Jazz,Jollof Rice,USA
Person_197,35,176,Swimming,Poetry,Horror,Folk,Pizza,England
Person_198,35,151,Basketball,Biography,Fantasy,None,Pizza,Italy
Person_199,21,152,Golf,Self-help,Action,None,Pizza,Australia
Person_200,27,176,Volleyball,Fantasy,Horror,Electronic,Sushi,France
Person_201,34,159,Soccer,Poetry,None,None,Jollof Rice,France
Person_202,22,176,None,None,Mystery,Folk,Pad Thai,England
Person_203,30,166,Cycling,Fantasy,None,Electronic,Sushi,USA
Person_204,33,155,Volleyball,Mystery,Romance,Classical,Ramen,India
Person_205,34,165,Running,Poetry,None,Rock,Lasagna,Japan
Person_206,35,178,Swimming,Romance,Comedy,Reggae,Jollof Rice,USA
Person_207,31,174,Swimming,Poetry,Action,Reggae,Sushi,Canada
Person_208,23,157,Soccer,Biography,Drama,Reggae,Sushi,China
Person_209,19,160,Soccer,Thriller,Drama,Country,Pad Thai,India
Person_210,18,163,Cycling,Biography,None,Jazz,Beef Noodle,India
Person_211,22,175,Basketball,Mystery,Drama,Electronic,Curry,Italy
Person_212,23,160,Volleyball,Romance,Horror,None,Ramen,Canada
Person_213,26,167,Volleyball,Fantasy,Action,Hip Hop,Ramen,Italy
Person_214,22,156,Cycling,Fantasy,Documentary,None,Ramen,Canada
Person_215,24,163,Soccer,Poetry,Drama,Reggae,Jollof Rice,France
Person_216,31,169,None,None,Thriller,Rock,Jollof Rice,China
Person_217,18,170,Cycling,Self-help,Drama,Blues,Sushi,India
Person_218,33,163,Swimming,Science Fiction,Comedy,Country,Pad Thai,France
Person_219,35,167,Cycling,Science Fiction,Science Fiction,Electronic,Beef Noodle,Australia
Person_220,24,159,None,Romance,Documentary,Folk,Jollof Rice,Italy
Person_221,23,154,Swimming,Science Fiction,Documentary,Reggae,Tacos,Australia
Person_222,29,179,None,Self-help,Action,Reggae,Lasagna,England
Person_223,34,174,Soccer,Self-help,Horror,Electronic,Tacos,USA
Person_224,26,173,Soccer,Mystery,Drama,Jazz,Beef Noodle,USA
Person_225,30,155,Yoga,Fantasy,Drama,Pop,Falafel,England
Person_226,23,163,Yoga,Romance,None,Reggae,Pizza,Canada
Person_227,23,151,Volleyball,Romance,Action,Blues,Pad Thai,China
Person_228,27,171,Yoga,Historical Fiction,Comedy,Electronic,Pad Thai,South Korea
Person_229,27,165,Basketball,Fantasy,Drama,Rock,Pizza,Australia
Person_230,21,164,None,Science Fiction,Fantasy,Hip Hop,Beef Noodle,India
Person_231,18,171,Golf,Mystery,Fantasy,Pop,Sushi,Australia
Person_232,26,165,Tennis,None,Horror,Pop,Pizza,China
Person_233,33,169,Basketball,Romance,Fantasy,Electronic,Pad Thai,Italy
Person_234,18,166,Soccer,Horror,Mystery,Blues,Pad Thai,China
Person_235,35,162,Basketball,Thriller,None,Pop,Sushi,China
Person_236,20,173,Tennis,Self-help,Romance,Rock,Tacos,USA
Person_237,28,156,None,Thriller,Science Fiction,Classical,Sushi,Australia
Person_238,25,172,Swimming,None,Action,Jazz,Ramen,Italy
Person_239,24,160,None,Mystery,Horror,Classical,Sushi,India
Person_240,27,166,Golf,None,Science Fiction,Pop,Jollof Rice,China
Person_241,29,180,None,Poetry,Romance,Classical,Curry,Italy
Person_242,32,154,Volleyball,Historical Fiction,Comedy,Hip Hop,Ramen,South Korea
Person_243,30,171,Volleyball,Poetry,Mystery,Electronic,Beef Noodle,South Korea
Person_244,24,159,Running,Horror,Romance,Pop,Jollof Rice,South Korea
Person_245,22,178,Volleyball,Thriller,Action,Blues,Beef Noodle,Canada
Person_246,20,152,Yoga,Fantasy,Documentary,Reggae,Falafel,Canada
Person_247,20,152,Tennis,Mystery,Horror,Country,Tacos,Australia
Person_248,20,155,Yoga,Mystery,Romance,Pop,Pizza,Italy
Person_249,23,153,Swimming,Historical Fiction,Documentary,Folk,Ramen,India
Person_250,34,171,Running,Thriller,Horror,Pop,Tacos,China
Person_251,18,161,Golf,Self-help,Fantasy,Electronic,Beef Noodle,England
Person_252,22,170,Cycling,Thriller,Drama,Blues,Jollof Rice,USA
Person_253,31,159,Volleyball,Mystery,Fantasy,Jazz,Pad Thai,South Korea
Person_254,31,166,Volleyball,Thriller,Romance,None,Pad Thai,Italy
Person_255,23,154,Running,Historical Fiction,Horror,Country,Sushi,England
Person_256,21,175,Cycling,Romance,Mystery,Country,Lasagna,Italy
Person_257,30,179,Tennis,Biography,Thriller,Country,Lasagna,England
Person_258,22,180,Swimming,Mystery,Thriller,Hip Hop,Curry,USA
Person_259,31,169,Hiking,None,Science Fiction,Hip Hop,Jollof Rice,Australia
Person_260,20,169,Cycling,None,Science Fiction,Jazz,Falafel,India
Person_261,34,152,Golf,Horror,Thriller,Jazz,Tacos,England
Person_262,28,164,Soccer,Poetry,Science Fiction,Country,Falafel,Australia
Person_263,19,159,Basketball,Self-help,Comedy,Country,Lasagna,USA
Person_264,35,166,Cycling,Historical Fiction,Thriller,Blues,Lasagna,USA
Person_265,35,161,Hiking,Self-help,Fantasy,Pop,Tacos,Italy
Person_266,23,166,Golf,None,Fantasy,Folk,Jollof Rice,South Korea
Person_267,22,155,Soccer,Mystery,Comedy,Classical,Pizza,China
Person_268,26,166,Volleyball,Romance,Fantasy,Electronic,Tacos,Canada
Person_269,26,157,Yoga,Romance,Science Fiction,Electronic,Beef Noodle,France
Person_270,35,151,Hiking,Mystery,Romance,Jazz,Pizza,India
Person_271,31,175,None,Biography,Thriller,Classical,Pizza,Australia
Person_272,32,175,Soccer,Horror,Romance,Country,Tacos,India
Person_273,26,170,Volleyball,Romance,Horror,Hip Hop,Pad Thai,France
Person_274,34,161,None,Historical Fiction,Thriller,Blues,Lasagna,India
Person_275,29,154,Tennis,Romance,Drama,Country,Pad Thai,Canada
Person_276,34,167,Soccer,Self-help,Romance,Blues,Pizza,India
Person_277,19,166,Yoga,Self-help,Mystery,Electronic,Beef Noodle,Japan
Person_278,24,168,Swimming,Mystery,Mystery,Country,Ramen,France
Person_279,32,158,None,Mystery,Drama,Folk,Lasagna,France
Person_280,29,177,Basketball,Biography,Comedy,Pop,Lasagna,Italy
Person_281,20,178,Tennis,Historical Fiction,None,Folk,Ramen,France
Person_282,22,177,Running,None,Action,Jazz,Falafel,China
Person_283,32,175,None,Poetry,Drama,Country,Lasagna,England
Person_284,19,158,Golf,Fantasy,Drama,Jazz,Pizza,USA
Person_285,32,170,Golf,Biography,None,Pop,Jollof Rice,South Korea
Person_286,23,151,Swimming,Self-help,Documentary,Jazz,Tacos,England
Person_287,31,153,Golf,Thriller,None,Hip Hop,Jollof Rice,Canada
Person_288,22,167,Hiking,Biography,Mystery,Pop,Lasagna,Australia
Person_289,34,164,Volleyball,Historical Fiction,Horror,None,Curry,England
Person_290,18,165,Yoga,Science Fiction,Mystery,Jazz,Tacos,England
Person_291,35,176,Soccer,Fantasy,None,Classical,Pad Thai,Australia
Person_292,34,175,Cycling,Science Fiction,Thriller,Electronic,Pad Thai,South Korea
Person_293,22,175,Running,Horror,Science Fiction,Pop,Lasagna,Australia
Person_294,35,174,Yoga,Biography,Fantasy,Electronic,Curry,South Korea
Person_295,29,167,Hiking,Science Fiction,Romance,Hip Hop,Curry,Italy
Person_296,19,173,None,Science Fiction,Science Fiction,Reggae,Sushi,Canada
Person_297,23,161,Yoga,Fantasy,Action,Country,Sushi,Canada
Person_298,29,154,Tennis,Thriller,Mystery,Reggae,Pad Thai,South Korea
Person_299,26,150,Running,Thriller,Drama,Classical,Lasagna,Japan
Person_300,35,154,Swimming,None,Fantasy,Classical,Sushi,USA
Person_301,29,166,Volleyball,Self-help,Thriller,Rock,Curry,England
Person_302,35,177,Yoga,Poetry,Fantasy,Rock,Tacos,USA
Person_303,20,159,None,Self-help,None,Country,Pad Thai,South Korea
Person_304,34,151,Soccer,Thriller,Drama,Reggae,Sushi,Australia
Person_305,30,167,None,Science Fiction,Mystery,Rock,Jollof Rice,China
Person_306,25,154,Volleyball,Horror,Drama,Blues,Ramen,England
Person_307,31,168,Hiking,Fantasy,Horror,None,Sushi,South Korea
Person_308,28,179,Hiking,Historical Fiction,Mystery,Reggae,Ramen,Australia
Person_309,27,150,Hiking,Historical Fiction,Documentary,Pop,Falafel,Australia
Person_310,28,160,Basketball,Biography,Horror,Reggae,Jollof Rice,USA
Person_311,23,156,Swimming,Science Fiction,Horror,Hip Hop,Pad Thai,South Korea
Person_312,18,176,Basketball,Science Fiction,Mystery,Blues,Pizza,France
Person_313,31,162,Hiking,Biography,Comedy,Electronic,Pizza,France
Person_314,32,172,Soccer,Mystery,Mystery,Jazz,Beef Noodle,South Korea
Person_315,18,172,Soccer,Fantasy,Drama,Pop,Curry,France
Person_316,34,175,Cycling,Thriller,Thriller,None,Pad Thai,France
Person_317,26,178,Volleyball,Mystery,Science Fiction,Hip Hop,Sushi,Japan
Person_318,27,167,Soccer,Mystery,Thriller,None,Jollof Rice,Italy
Person_319,33,152,Tennis,Self-help,Action,Jazz,Jollof Rice,Australia
Person_320,33,172,Hiking,Poetry,Action,Blues,Tacos,Canada
Person_321,25,152,Volleyball,Romance,Drama,Jazz,Lasagna,Australia
Person_322,34,154,Cycling,Biography,Comedy,Country,Ramen,Japan
Person_323,22,153,Basketball,Horror,Science Fiction,Reggae,Falafel,Japan
Person_324,20,150,Yoga,Romance,Comedy,Reggae,Lasagna,USA
Person_325,32,175,Soccer,None,None,Reggae,Curry,India
Person_326,27,171,Yoga,Romance,Fantasy,Classical,Jollof Rice,India
Person_327,33,175,Basketball,Biography,Science Fiction,Reggae,Falafel,South Korea
Person_328,29,155,Hiking,None,Horror,Folk,Beef Noodle,South Korea
Person_329,20,152,Basketball,Science Fiction,None,Jazz,Falafel,India
Person_330,34,161,Hiking,Fantasy,Action,Jazz,Jollof Rice,Australia
Person_331,23,163,Running,Historical Fiction,Horror,Blues,Falafel,France
Person_332,28,170,Soccer,Science Fiction,Drama,Jazz,Pizza,India
Person_333,31,166,Cycling,Historical Fiction,Romance,Hip Hop,Sushi,Canada
Person_334,34,161,Golf,Fantasy,Drama,Classical,Jollof Rice,USA
Person_335,21,170,Running,Poetry,Action,Reggae,Pad Thai,Australia
Person_336,19,161,Running,Horror,Documentary,None,Tacos,England
Person_337,27,172,Cycling,Fantasy,Thriller,Electronic,Ramen,England
Person_338,22,173,None,None,Romance,Pop,Ramen,India
Person_339,22,158,Basketball,Biography,Documentary,Electronic,Lasagna,South Korea
Person_340,18,173,Golf,Poetry,Horror,Classical,Curry,Japan
Person_341,20,171,Cycling,Self-help,Mystery,Blues,Lasagna,England
Person_342,19,159,Soccer,Thriller,Fantasy,Folk,Pizza,Italy
Person_343,22,170,Golf,Fantasy,None,Hip Hop,Tacos,USA
Person_344,29,174,Running,Fantasy,Documentary,Rock,Lasagna,England
Person_345,30,151,Hiking,Thriller,Science Fiction,Pop,Pad Thai,Canada
Person_346,20,171,Running,Thriller,Thriller,Jazz,Sushi,USA
Person_347,27,175,Yoga,Historical Fiction,Fantasy,Electronic,Pizza,India
Person_348,28,175,Soccer,Thriller,Drama,Classical,Pizza,India
Person_349,22,151,Golf,Romance,Documentary,Country,Lasagna,USA
Person_350,18,178,Golf,Horror,Mystery,Blues,Tacos,Italy
Person_351,28,151,Volleyball,Horror,Science Fiction,Electronic,Curry,India
Person_352,21,157,Volleyball,Self-help,Science Fiction,Folk,Tacos,Canada
Person_353,27,178,None,Historical Fiction,Comedy,Reggae,Tacos,India
Person_354,20,158,Hiking,Horror,Drama,Hip Hop,Pizza,Italy
Person_355,35,172,Hiking,Historical Fiction,Science Fiction,None,Pizza,Canada
Person_356,33,151,Running,Fantasy,Action,None,Pizza,China
Person_357,33,161,Hiking,Historical Fiction,None,None,Ramen,USA
Person_358,35,161,None,Self-help,Science Fiction,Classical,Pizza,Japan
Person_359,33,165,Cycling,Historical Fiction,Thriller,Pop,Curry,Italy
Person_360,20,170,Tennis,Historical Fiction,Horror,None,Curry,USA
Person_361,26,176,Soccer,Poetry,Romance,Folk,Lasagna,England
Person_362,30,170,Basketball,Biography,Thriller,Rock,Lasagna,Italy
Person_363,35,166,Basketball,Poetry,Comedy,Reggae,Lasagna,England
Person_364,29,166,Tennis,None,Action,Electronic,Falafel,France
Person_365,20,171,None,Poetry,Documentary,Reggae,Curry,China
Person_366,25,162,Running,Self-help,Comedy,Jazz,Sushi,China
Person_367,21,153,Yoga,Historical Fiction,Action,Folk,Pad Thai,Japan
Person_368,21,156,Swimming,Biography,Science Fiction,Jazz,Curry,England
Person_369,19,161,Tennis,Science Fiction,None,Classical,Lasagna,Japan
Person_370,29,160,Soccer,Thriller,Mystery,Reggae,Sushi,USA
Person_371,21,179,Volleyball,Poetry,Action,None,Pad Thai,France
Person_372,26,160,None,Self-help,Drama,Reggae,Tacos,Japan
Person_373,35,175,Cycling,None,None,Hip Hop,Beef Noodle,South Korea
Person_374,24,162,Golf,Self-help,Horror,Country,Pizza,China
Person_375,26,157,Swimming,Self-help,None,None,Pizza,China
Person_376,30,175,Running,Self-help,Romance,Jazz,Lasagna,Italy
Person_377,19,159,None,Poetry,Science Fiction,Pop,Pizza,South Korea
Person_378,24,166,Yoga,Thriller,Fantasy,Classical,Jollof Rice,Canada
Person_379,27,175,None,Historical Fiction,Thriller,Classical,Beef Noodle,USA
Person_380,30,178,Running,Historical Fiction,Documentary,Country,Jollof Rice,Australia
Person_381,19,150,Golf,Biography,Mystery,Rock,Jollof Rice,USA
Person_382,23,176,Yoga,Biography,Comedy,None,Tacos,USA
